[number]	[x]	[y]
1-2073	5682864.69	7429409.64
1-2152	5682576.31	7429462.52
1-1407	5682289.38	7429514.54
1-1408	5682291.12	7429518.33
1-1406	5682277.20	7429490.41
1-2075	5682814.80	7429379.47
1-10003	5682242.67	7429533.17
1-10004	5682240.04	7429527.77
O-4954	5681475.74	7429680.36
1-1471	5682283.01	7429525.87
1-1469	5682289.88	7429540.00
1-1986	5682875.75	7429197.61
1-1693	5682616.90	7429247.23
1-1997	5682877.38	7429208.38
1-1628	5683205.56	7429236.87
1-1626	5683201.76	7429249.95
1-2002	5682878.43	7429215.40
1-1547	5683229.98	7429167.38
1-1540	5683237.04	7429114.09
1-1536	5683252.22	7429064.72
1-1535	5683257.94	7429036.84
1-1530	5683272.57	7428937.78
1-10032	5683301.97	7428832.99
1-1527	5683308.85	7428806.78
1-1525	5683326.17	7428737.93
O-3966	5683334.41	7428700.83
1-1645	5683234.79	7429120.78
1-1638	5683226.20	7429167.02
1-1634	5683218.37	7429192.82
1-1633	5683214.68	7429205.52
1-1605	5683148.01	7429394.12
1-1604	5683137.82	7429418.47
1-1559	5683204.00	7429250.15
1-1556	5683209.98	7429231.13
1-1554	5683213.82	7429218.92
1-1553	5683215.86	7429212.41
1-2053	5683636.72	7429311.54
1-1943	5683743.93	7429293.80
1-1944	5683748.79	7429286.78
1-2027	5683208.89	7429237.16
1-1945	5683746.96	7429280.53
1-1946	5683744.47	7429273.57
1-1966	5683740.44	7429160.39
O-4462	5684073.99	7429190.92
1-2026	5683750.57	7429234.80
O-4548	5684081.23	7429259.07
1-2011	5683749.73	7429228.65
1-1821	5683740.25	7429227.79
1-1822	5683740.86	7429233.92
O-4571	5684082.56	7429271.61
1-2054	5683756.91	7429281.46
1-2088	5683758.77	7429295.13
1-2084	5683757.75	7429287.61
1-1829	5683750.78	7429286.96
1-1830	5683745.43	7429293.94
O-4628	5684088.89	7429331.10
1-2089	5683759.48	7429300.29
O-4648	5684090.75	7429348.62
1-10055	5683761.99	7429315.29
1-1834	5683754.08	7429314.54
1-1835	5683754.98	7429316.68
O-4657	5684091.08	7429354.10
1-1836	5683757.67	7429323.09
1-1435	5682468.09	7429876.00
1-1434	5682466.27	7429872.81
1-1438	5682497.75	7429918.99
1-2562	5682497.60	7429844.21
1-2463	5682947.86	7429759.26
1-2267	5682949.05	7429757.50
1-2268	5682948.61	7429741.89
1-1433	5682461.14	7429863.84
1-1432	5682456.10	7429854.62
1-1439	5682509.43	7429935.09
