5683219.56	7429205.79	1-1992	0.20	5683395.89	7429222.06	1-1991	0.20
5683395.89	7429222.06	1-1991	0.20	5683397.84	7429209.44	1-1988	0.30
5683397.84	7429209.44	1-1988	0.30	5683223.54	7429193.31	1-1989	0.00
5683223.54	7429193.31	1-1989	0.00	5683221.92	7429193.15	1-1551	0.00
5683221.92	7429193.15	1-1551	0.00	5683223.84	7429187.05	1-1550	0.00
5683221.92	7429193.15	1-1551	0.00	5683218.00	7429205.61	1-1552	0.00
5683397.84	7429209.44	1-1988	0.30	5683739.53	7429240.44	1-1950	0.00
5683739.53	7429240.44	1-1950	0.00	5683738.87	7429233.74	1-1951	0.00
5683739.53	7429240.44	1-1950	0.00	5683739.31	7429253.24	1-1949	0.00
5683739.31	7429253.24	1-1949	0.00	5683740.81	7429260.52	1-1948	0.00
5683739.31	7429253.24	1-1949	0.00	5683395.89	7429222.06	1-1991	0.20
5684075.01	7429200.61	O-4474	0.00	5684075.50	7429205.15	O-4488	0.00
5684075.50	7429205.15	O-4488	0.00	5684076.89	7429218.28	O-4498	0.00
5684075.50	7429205.15	O-4488	0.00	5683835.51	7429182.90	1-1973	0.00
5683835.51	7429182.90	1-1973	0.00	5683835.63	7429175.55	1-1968	0.00
5683835.51	7429182.90	1-1973	0.00	5683739.34	7429173.99	1-1814	0.00
5683739.34	7429173.99	1-1814	0.00	5683739.27	7429166.74	1-1813	0.00
5683739.34	7429173.99	1-1814	0.00	5683738.19	7429187.18	1-1815	0.00
5683737.06	7429146.28	1-1781	0.00	5683737.14	7429153.73	1-1788	0.00
5683737.14	7429153.73	1-1788	0.00	5683737.21	7429160.09	1-1795	0.00
5683737.21	7429160.09	1-1795	0.00	5683737.28	7429166.56	1-1796	0.00
5683737.14	7429153.73	1-1788	0.00	5683608.12	7429141.98	1-1789	0.30
5683608.12	7429141.98	1-1789	0.30	5683611.22	7429148.68	1-1794	0.30
5683611.22	7429148.68	1-1794	0.30	5683737.21	7429160.09	1-1795	0.00
5683608.12	7429141.98	1-1789	0.30	5683274.18	7429110.88	1-1790	0.00
5683274.18	7429110.88	1-1790	0.00	5683276.76	7429117.71	1-1792	0.00
5683276.76	7429117.71	1-1792	0.00	5683611.22	7429148.68	1-1794	0.30
5683274.18	7429110.88	1-1790	0.00	5683246.21	7429108.29	1-1791	0.00
5683246.21	7429108.29	1-1791	0.00	5683236.25	7429107.42	1-1539	0.00
5683236.25	7429107.42	1-1539	0.00	5683240.50	7429100.81	1-1538	0.00
5683236.25	7429107.42	1-1539	0.00	5683237.04	7429114.09	1-1540	0.00
5683237.04	7429114.09	1-1540	0.00	5683237.78	7429121.05	1-1541	0.00
5683237.04	7429114.09	1-1540	0.00	5683276.76	7429117.71	1-1792	0.00
5683234.05	7429113.83	1-1646	0.00	5683234.79	7429120.78	1-1645	0.00
5683234.79	7429120.78	1-1645	0.00	5683235.59	7429127.44	1-1644	0.00
5683235.59	7429127.44	1-1644	0.00	5683235.20	7429140.51	1-1643	0.00
5683234.79	7429120.78	1-1645	0.00	5683147.22	7429113.07	1-1779	0.00
5683147.22	7429113.07	1-1779	0.00	5683144.75	7429119.34	1-1780	0.00
5683144.75	7429119.34	1-1780	0.00	5683235.59	7429127.44	1-1644	0.00
5683147.22	7429113.07	1-1779	0.00	5682859.16	7429087.71	1-1775	0.00
5682859.16	7429087.71	1-1775	0.00	5682860.10	7429093.94	1-1776	0.00
5682860.10	7429093.94	1-1776	0.00	5683144.75	7429119.34	1-1780	0.00
5682858.16	7429081.09	1-1774	0.00	5682859.16	7429087.71	1-1775	0.00
5682860.10	7429093.94	1-1776	0.00	5682860.87	7429099.08	1-1777	0.00
5682869.20	7429153.52	1-1806	0.50	5682870.02	7429159.66	1-1807	0.00
5682870.02	7429159.66	1-1807	0.00	5682872.02	7429172.91	1-1808	0.00
5682872.02	7429172.91	1-1808	0.00	5682872.49	7429175.42	1-1809	0.60
5682872.02	7429172.91	1-1808	0.00	5683159.97	7429200.50	1-1967	0.20
5683159.97	7429200.50	1-1967	0.20	5683162.19	7429187.76	1-1962	0.30
5683162.19	7429187.76	1-1962	0.30	5682870.02	7429159.66	1-1807	0.00
5683162.19	7429187.76	1-1962	0.30	5683218.37	7429192.82	1-1634	0.00
5683218.37	7429192.82	1-1634	0.00	5683220.19	7429186.56	1-1635	0.00
5683218.37	7429192.82	1-1634	0.00	5683214.68	7429205.52	1-1633	0.00
5683214.68	7429205.52	1-1633	0.00	5683212.76	7429212.12	1-1632	0.00
5683214.68	7429205.52	1-1633	0.00	5683159.97	7429200.50	1-1967	0.20
5682870.21	7429412.81	1-2072	0.70	5682877.08	7429417.14	1-2071	0.00
5682877.08	7429417.14	1-2071	0.00	5682889.80	7429424.83	1-2070	0.00
5682889.80	7429424.83	1-2070	0.00	5682899.46	7429430.34	1-2069	0.90
5682337.95	7429524.36	1-2191	0.00	5682334.16	7429516.55	1-2186	0.00
5682334.16	7429516.55	1-2186	0.00	5682578.16	7429472.46	1-2185	0.50
5682578.16	7429472.46	1-2185	0.50	5682877.08	7429417.14	1-2071	0.00
5682334.16	7429516.55	1-2186	0.00	5682293.79	7429524.20	1-1409	0.30
5682293.79	7429524.20	1-1409	0.30	5682291.35	7429518.90	1-1408	0.70
5682293.79	7429524.20	1-1409	0.30	5682300.32	7429538.39	1-1410	0.30
5682300.32	7429538.39	1-1410	0.30	5682305.95	7429549.80	1-1411	0.30
5682271.62	7429479.35	1-1405	0.00	5682265.99	7429468.20	1-1404	0.00
5682265.99	7429468.20	1-1404	0.00	5682254.22	7429443.92	1-1403	0.00
5682254.22	7429443.92	1-1403	0.00	5682242.43	7429419.32	1-1402	0.00
5682234.97	7429403.81	1-1400	0.00	5682227.73	7429387.57	1-517	0.00
5682227.73	7429387.57	1-517	0.00	5682220.43	7429371.00	1-508	0.00
5682220.43	7429371.00	1-508	0.00	5682209.04	7429346.36	1-1399	0.20
5682220.43	7429371.00	1-508	0.00	5682296.36	7429357.36	1-509	0.00
5682296.36	7429357.36	1-509	0.00	5682299.32	7429374.52	1-516	0.00
5682299.32	7429374.52	1-516	0.00	5682227.73	7429387.57	1-517	0.00
5682299.32	7429374.52	1-516	0.00	5682338.64	7429367.36	1-146	0.00
5682338.64	7429367.36	1-146	0.00	5682469.64	7429343.49	1-515	0.00
5682469.64	7429343.49	1-515	0.00	5682466.84	7429326.74	1-510	0.00
5682466.84	7429326.74	1-510	0.00	5682296.36	7429357.36	1-509	0.00
5682466.84	7429326.74	1-510	0.00	5682552.50	7429311.82	1-511	0.60
5682635.20	7429295.43	1-2049	0.00	5682641.34	7429294.31	1-2017	0.00
5682674.24	7429288.31	1-512	0.00	5682696.24	7429302.73	1-513	0.10
5682696.24	7429302.73	1-513	0.10	5682554.80	7429327.97	1-514	0.10
5682552.50	7429311.82	1-511	0.60	5682635.20	7429295.43	1-2049	0.00
5682554.80	7429327.97	1-514	0.10	5682469.64	7429343.49	1-515	0.00
