[numer]	[x]	[y]
19-382	5685580.34	7424519.41
19-1851	5685522.47	7424498.70
19-381	5685571.78	7424516.35
19-1846	5685572.70	7424516.68
19-1847	5685530.75	7424477.12
19-374	5685620.84	7424560.14
19-379	5685584.62	7424529.00
19-1370	5685667.06	7424608.11
19-383	5685587.33	7424526.06
19-384	5685597.28	7424535.00
19-386	5685608.28	7424543.88
19-403	5685614.12	7424548.87
19-404	5685623.46	7424557.12
19-666	5685590.80	7424529.60
19-501	5684652.42	7424293.65
19-1332	5684684.61	7424397.36
19-52	5684770.13	7424120.81
19-1115	5684776.19	7424101.67
O-107	5684667.77	7424440.77
O-108	5684668.25	7424440.94
19-1120	5684760.33	7424093.94
19-1116	5684782.92	7424082.37
19-1117	5684786.92	7424066.13
19-1118	5684788.43	7424051.80
19-604	5684816.89	7423986.68
19-606	5684786.27	7423993.26
19-603	5684832.76	7423956.61
19-993	5684849.56	7423924.76
19-607	5684827.32	7423915.58
19-605	5684785.03	7423989.05
19-611	5684818.08	7423926.56
19-597	5684779.87	7423971.58
19-1061	5684873.51	7423879.20
19-594	5684875.36	7423874.69
19-600	5684835.65	7423869.85
19-601	5684827.88	7423868.87
19-602	5684804.84	7423906.32
19-840	5685295.98	7424237.13
19-855	5685334.65	7424133.54
19-1186	5685335.45	7424131.40
19-869	5685356.58	7424141.88
19-868	5685366.03	7424117.14
19-852	5685363.45	7424057.85
19-866	5685384.65	7424065.92
19-858	5685454.14	7423877.82
19-859	5685451.37	7423875.98
19-888	5685432.02	7424018.91
19-897	5685445.93	7423983.70
19-896	5685467.06	7423991.30
19-884	5685440.08	7423979.20
19-886	5685428.52	7424019.70
19-956	5685414.53	7424135.05
19-856	5685370.62	7424118.34
19-872	5685367.15	7424127.72
19-988	5685320.72	7424253.81
19-985	5685335.17	7424267.89
19-990	5685347.64	7424285.96
19-982	5685361.77	7424277.78
19-983	5685356.32	7424291.17
19-981	5685362.67	7424278.11
19-980	5685357.18	7424293.22
19-932	5685383.65	7424341.97
19-978	5685385.80	7424341.01
19-979	5685359.07	7424297.68
19-977	5685403.73	7424293.22
19-975	5685417.79	7424255.75
19-973	5685376.90	7424240.39
19-969	5685424.82	7424237.01
19-968	5685431.86	7424218.28
19-967	5685438.88	7424199.55
19-961	5685399.49	7424185.05
19-966	5685445.91	7424180.82
19-960	5685407.05	7424166.51
19-965	5685452.95	7424162.09
19-959	5685414.59	7424147.97
19-974	5685419.08	7424136.94
19-958	5685421.88	7424129.33
19-1139	5685417.37	7424127.54
19-964	5685459.98	7424143.34
19-953	5685511.19	7424020.99
19-937	5685504.78	7424023.85
19-935	5685490.75	7424061.31
19-933	5685476.71	7424098.77
19-875	5685384.50	7424089.38
19-876	5685380.68	7424091.14
19-873	5685427.06	7424100.78
19-1815	5686116.83	7424391.35
19-1814	5686199.53	7424406.43
19-2286	5686023.89	7424356.45
19-641	5686098.30	7424164.40
19-625	5686123.59	7424114.23
19-737	5686096.16	7424104.24
19-736	5686072.68	7424095.69
19-619	5686059.68	7424090.95
19-34	5686058.74	7424115.33
19-618	5686060.26	7424131.83
19-2461	5686194.79	7424176.14
19-622	5686209.44	7424145.51
19-623	5686206.62	7424144.48
19-637	5686189.90	7424179.41
19-638	5686187.14	7424180.57
19-639	5686133.37	7424162.13
