19-1127	5685555.78	7423914.56	0.00	19-1129	5685582.11	7423924.30	0.00
19-1126	5685549.41	7423936.77	0.00	19-1127	5685555.78	7423914.56	0.00
19-1128	5685594.45	7423930.80	0.00	19-1129	5685582.11	7423924.30	0.00
19-1129	5685582.11	7423924.30	0.00	19-1147	5685593.63	7423898.80	0.00
19-1128	5685594.45	7423930.80	0.00	19-1148	5685605.68	7423906.40	0.00
19-1128	5685594.45	7423930.80	0.00	19-1130	5685611.38	7423940.23	0.00
19-1124	5685585.56	7423950.18	0.00	19-1123	5685605.09	7423957.10	0.00
19-1128	5685594.45	7423930.80	0.00	19-1124	5685585.56	7423950.18	0.00
19-1125	5685572.35	7423945.41	0.00	19-1129	5685582.11	7423924.30	0.00
19-551	5685547.98	7423942.74	0.00	19-543	5685603.00	7423962.74	0.00
19-543	5685603.00	7423962.74	0.00	19-1123	5685605.09	7423957.10	0.00
19-543	5685603.00	7423962.74	0.00	19-1422	5685593.50	7423988.27	0.00
19-1422	5685593.50	7423988.27	0.00	19-1390	5685642.61	7424007.24	0.10
19-556	5685591.61	7423993.36	0.00	19-1422	5685593.50	7423988.27	0.00
19-556	5685591.61	7423993.36	0.00	19-661	5685580.53	7424023.16	0.00
19-555	5685531.10	7423970.69	0.00	19-556	5685591.61	7423993.36	0.00
19-661	5685580.53	7424023.16	0.00	19-1423	5685578.99	7424026.84	0.00
19-841	5685519.94	7424000.47	0.00	19-661	5685580.53	7424023.16	0.00
19-1423	5685578.99	7424026.84	0.00	19-1392	5685628.35	7424045.60	0.10
19-1388	5685657.21	7423968.55	0.00	19-1390	5685642.61	7424007.24	0.10
19-1392	5685628.35	7424045.60	0.10	19-1390	5685642.61	7424007.24	0.10
19-1392	5685628.35	7424045.60	0.10	19-1394	5685613.85	7424084.19	0.00
19-1424	5685564.72	7424065.39	0.20	19-1394	5685613.85	7424084.19	0.00
19-1394	5685613.85	7424084.19	0.00	19-1396	5685599.38	7424122.58	0.00
19-1425	5685550.52	7424103.86	0.00	19-1396	5685599.38	7424122.58	0.00
19-1396	5685599.38	7424122.58	0.00	19-1398	5685585.06	7424161.06	0.00
19-1426	5685536.20	7424142.39	0.10	19-1398	5685585.06	7424161.06	0.00
19-1400	5685570.26	7424200.77	0.00	19-1398	5685585.06	7424161.06	0.00
19-1352	5685520.75	7424183.17	0.00	19-1400	5685570.26	7424200.77	0.00
19-1403	5685556.01	7424239.63	0.40	19-1400	5685570.26	7424200.77	0.00
19-1427	5685506.09	7424221.85	0.00	19-1403	5685556.01	7424239.63	0.40
19-1403	5685556.01	7424239.63	0.40	19-1405	5685541.46	7424278.62	0.40
19-1354	5685491.66	7424261.03	0.00	19-1405	5685541.46	7424278.62	0.40
19-1405	5685541.46	7424278.62	0.40	19-1407	5685526.90	7424317.61	0.30
19-1355	5685477.04	7424299.99	0.00	19-1407	5685526.90	7424317.61	0.30
19-1409	5685512.16	7424356.49	0.00	19-1407	5685526.90	7424317.61	0.30
19-1409	5685512.16	7424356.49	0.00	19-1356	5685462.55	7424339.01	0.00
19-1411	5685498.36	7424392.96	0.00	19-1409	5685512.16	7424356.49	0.00
19-1411	5685498.36	7424392.96	0.00	19-1357	5685448.98	7424375.50	0.00
19-1413	5685485.21	7424428.33	0.00	19-1411	5685498.36	7424392.96	0.00
19-1358	5685478.31	7424433.72	0.00	19-1413	5685485.21	7424428.33	0.00
19-1345	5685438.68	7424405.12	0.00	19-1358	5685478.31	7424433.72	0.00
19-1850	5685444.47	7424416.51	0.00	19-1719	5685437.50	7424408.23	0.00
19-1719	5685437.50	7424408.23	0.00	19-1817	5685435.35	7424413.99	0.00
19-1719	5685437.50	7424408.23	0.00	19-1720	5685433.83	7424403.88	0.00
19-1817	5685435.35	7424413.99	0.00	19-1818	5685412.17	7424384.21	0.00
